x	y	w	h	class	class_name	time
655	196	54	53	0	buba	1806
588	235	64	58	0	buba	1806
868	330	77	105	1	kiki	1806
690	262	89	104	1	kiki	1806
577	151	83	77	0	buba	1931
657	183	69	69	0	buba	1931
685	293	92	100	1	kiki	1931
858	302	95	169	1	kiki	1931
585	236	66	58	0	buba	1931
667	183	68	71	0	buba	2048
728	277	59	72	0	buba	2048
587	195	63	90	0	buba	2048
876	331	71	101	1	kiki	2048
675	195	72	70	0	buba	2165
676	306	83	95	1	kiki	2165
743	274	56	72	0	buba	2165
586	199	67	88	0	buba	2165
857	309	68	95	1	kiki	2165
553	187	78	94	0	buba	2281
722	281	61	67	0	buba	2281
650	190	68	74	0	buba	2281
653	289	85	121	1	kiki	2281
661	333	91	117	1	kiki	2398
646	199	66	67	0	buba	2398
814	270	79	110	1	kiki	2398
556	194	73	84	0	buba	2398
721	294	57	67	0	buba	2398
550	181	64	65	0	buba	2516
700	284	65	68	0	buba	2516
806	295	66	83	0	buba	2516
628	187	77	74	0	buba	2516
681	268	62	69	0	buba	2633
520	167	76	65	0	buba	2633
548	236	63	60	0	buba	2633
616	343	95	98	1	kiki	2633
501	183	75	82	0	buba	2747
667	260	58	71	0	buba	2747
607	324	106	110	1	kiki	2747
613	347	112	110	1	kiki	2866
770	272	83	105	1	kiki	2866
647	287	58	55	0	buba	2866
521	171	69	87	0	buba	2866
483	138	84	81	0	buba	2982
764	299	83	95	1	kiki	2982
608	359	105	104	1	kiki	2982
622	275	59	67	0	buba	2982
446	156	76	77	0	buba	2982
505	229	54	53	0	buba	2982
582	353	105	110	1	kiki	3100
593	263	66	67	0	buba	3100
416	130	76	86	0	buba	3100
743	316	81	76	1	kiki	3100
475	223	63	59	0	buba	3100
433	119	102	84	0	buba	3100
1462	162	98	312	4	ladder	3100
409	149	75	83	0	buba	3215
586	262	66	72	0	buba	3215
744	290	81	96	1	kiki	3215
1438	171	111	299	4	ladder	3215
461	223	66	59	0	buba	3215
544	370	113	117	1	kiki	3336
776	336	80	90	1	kiki	3336
468	222	60	65	0	buba	3336
1433	191	82	305	4	ladder	3336
591	316	56	57	0	buba	3336
1705	421	98	368	4	ladder	3336
1428	198	81	312	4	ladder	3466
457	251	62	71	0	buba	3466
1683	440	102	337	4	ladder	3466
388	145	72	72	0	buba	3466
579	327	59	56	0	buba	3466
786	380	91	89	1	kiki	3466
406	225	55	51	0	buba	3466
1410	205	90	302	4	ladder	3581
573	323	73	73	0	buba	3581
345	135	88	78	0	buba	3581
1664	439	106	346	4	ladder	3581
385	225	73	62	0	buba	3581
442	281	59	62	0	buba	3581
473	403	85	74	1	kiki	3581
357	226	71	71	0	buba	3701
453	396	100	97	1	kiki	3701
581	307	61	80	0	buba	3701
415	282	66	67	0	buba	3701
1401	212	87	303	4	ladder	3701
330	140	70	75	0	buba	3701
1665	457	97	347	4	ladder	3701
447	388	103	109	1	kiki	3815
342	242	72	69	0	buba	3815
1395	214	91	294	4	ladder	3815
570	302	65	76	0	buba	3815
1651	473	84	327	4	ladder	3815
330	173	59	51	0	buba	3815
403	273	70	68	0	buba	3815
1392	207	93	304	4	ladder	3953
441	385	105	110	1	kiki	3953
342	243	71	68	0	buba	3953
567	302	66	76	0	buba	3953
1634	463	92	344	4	ladder	3953
402	277	71	67	0	buba	3953
1391	211	91	295	4	ladder	4099
437	385	112	111	1	kiki	4099
342	243	70	66	0	buba	4099
1628	465	103	338	4	ladder	4099
568	304	66	75	0	buba	4099
402	278	70	66	0	buba	4099
438	388	113	111	1	kiki	4230
343	243	71	67	0	buba	4230
1393	216	88	289	4	ladder	4230
1625	467	106	339	4	ladder	4230
570	304	66	75	0	buba	4230
