x	y	w	h	class	class_name	time
1023	1011	101	68	4	ladder	2527
1712	961	66	42	0	buba	2527
1622	1028	61	44	0	buba	2695
1017	940	79	133	4	ladder	2695
1622	1028	61	44	0	buba	2830
1017	940	79	133	4	ladder	2830
1622	1028	61	44	0	buba	2959
1017	940	79	133	4	ladder	2959
1622	1028	61	44	0	buba	3080
1017	940	79	133	4	ladder	3080
1622	1028	61	44	0	buba	3205
1017	940	79	133	4	ladder	3205
1622	1028	61	44	0	buba	3329
1017	940	79	133	4	ladder	3329
1622	1028	61	44	0	buba	3451
1017	940	79	133	4	ladder	3451
1622	1028	61	44	0	buba	3561
1017	940	79	133	4	ladder	3561
1622	1028	61	44	0	buba	3695
1017	940	79	133	4	ladder	3695
1622	1028	61	44	0	buba	3826
1017	940	79	133	4	ladder	3826
1622	1028	61	44	0	buba	3954
1017	940	79	133	4	ladder	3954
1622	1028	61	44	0	buba	4090
1017	940	79	133	4	ladder	4090
1622	1028	61	44	0	buba	4213
1017	940	79	133	4	ladder	4213
1096	206	57	68	2	signpost	4351
1626	1028	59	44	0	buba	4351
1017	941	78	133	4	ladder	4351
237	701	54	49	0	buba	4351
280	662	68	61	0	buba	4351
1096	205	57	68	2	signpost	4465
1017	940	78	134	4	ladder	4465
1633	1031	59	43	0	buba	4465
231	697	60	51	0	buba	4465
1600	875	60	47	0	buba	4465
1096	206	57	68	2	signpost	4588
1639	1035	60	40	0	buba	4588
1017	940	78	134	4	ladder	4588
242	702	64	46	0	buba	4588
1096	206	57	68	2	signpost	4728
1644	1027	59	46	0	buba	4728
1017	940	78	134	4	ladder	4728
303	663	52	54	0	buba	4728
184	790	43	49	0	buba	4728
1096	206	57	68	2	signpost	4849
317	662	52	49	0	buba	4849
1017	940	78	134	4	ladder	4849
1652	1020	62	49	0	buba	4849
1609	874	57	49	0	buba	4849
1096	206	57	68	2	signpost	4982
1017	940	78	134	4	ladder	4982
1676	1026	57	48	0	buba	4982
254	693	72	55	0	buba	4982
1094	205	56	68	2	signpost	5099
1680	1033	59	41	0	buba	5099
1016	939	79	134	4	ladder	5099
290	693	49	51	0	buba	5099
1088	206	56	67	2	signpost	5223
1011	936	80	140	4	ladder	5223
1681	1024	54	44	0	buba	5223
310	669	48	54	0	buba	5223
1625	861	50	53	0	buba	5223
1082	192	58	70	2	signpost	5347
1006	940	78	136	4	ladder	5347
1697	1023	60	44	0	buba	5347
320	674	54	50	0	buba	5347
1080	155	65	73	2	signpost	5471
997	963	80	121	4	ladder	5471
1763	1056	70	23	0	buba	5471
212	685	63	67	0	buba	5471
1670	865	66	49	0	buba	5471
1068	111	70	80	2	signpost	5597
981	992	85	89	4	ladder	5597
137	703	56	49	0	buba	5597
1054	64	74	90	2	signpost	5717
104	706	66	66	0	buba	5717
959	1029	104	47	4	ladder	5717
1797	930	71	69	0	buba	5830
1033	38	77	79	2	signpost	5830
22	710	69	70	0	buba	5830
1836	940	76	69	0	buba	5954
1848	927	71	83	0	buba	6099
1831	968	77	69	0	buba	6234
1794	978	81	77	0	buba	6354
1768	965	85	78	0	buba	6481
1747	950	90	77	0	buba	6604
1721	966	95	79	0	buba	6729
1696	976	84	81	0	buba	6853
1661	964	85	73	0	buba	6982
1605	926	89	79	0	buba	7104
1548	925	82	80	0	buba	7230
1475	923	87	80	0	buba	7353
1400	895	82	83	0	buba	7479
1329	867	87	77	0	buba	7601
1257	866	91	79	0	buba	7713
1601	1019	172	65	3	chest	7713
1181	914	93	72	0	buba	7835
1553	1018	182	62	3	chest	7835
1121	916	88	89	0	buba	7947
1470	1044	200	36	3	chest	7947
1061	916	91	86	0	buba	8068
996	919	84	93	0	buba	8178
916	979	93	73	0	buba	8300
836	971	86	84	0	buba	8428
771	939	92	85	0	buba	8548
722	902	103	78	0	buba	8673
705	922	86	78	0	buba	8797
1040	1045	212	36	3	chest	8797
690	882	91	84	0	buba	8922
1047	1014	166	69	3	chest	8922
678	834	105	86	0	buba	9052
1042	981	171	100	3	chest	9052
701	761	99	97	0	buba	9170
1041	953	164	123	3	chest	9170
722	776	85	69	0	buba	9296
1047	927	149	127	3	chest	9296
727	729	87	90	0	buba	9420
1051	901	146	141	3	chest	9420
1178	1039	70	32	0	buba	9420
756	659	103	117	0	buba	9549
1072	885	152	110	3	chest	9549
798	606	104	106	0	buba	9666
977	892	85	71	0	buba	9666
833	609	92	92	0	buba	9794
839	634	89	79	0	buba	9914
1149	921	99	90	0	buba	9914
1261	1011	101	71	0	buba	9914
1160	815	134	125	3	chest	9914
951	891	96	84	0	buba	9914
833	646	90	87	0	buba	10043
1269	963	103	91	0	buba	10043
1427	1021	105	62	0	buba	10043
1171	890	110	87	0	buba	10043
821	655	97	88	0	buba	10164
1457	1018	86	67	0	buba	10164
1279	921	107	94	0	buba	10164
1476	973	97	86	0	buba	10289
1304	943	87	68	0	buba	10289
1231	1010	98	70	0	buba	10289
1367	837	88	94	0	buba	10289
821	631	104	98	0	buba	10289
1263	722	146	111	3	chest	10289
1223	978	121	79	0	buba	10412
1474	921	111	92	0	buba	10412
1318	904	98	77	0	buba	10412
829	588	92	99	0	buba	10412
1391	808	94	84	0	buba	10412
1292	682	141	122	3	chest	10412
1446	949	171	121	0	buba	10537
1433	681	187	159	3	chest	10537
1408	686	187	153	3	chest	10663
880	554	101	106	0	buba	10663
1232	723	94	71	0	buba	10663
1196	860	171	140	0	buba	10663
866	560	103	99	0	buba	10785
1289	789	196	135	3	chest	10785
835	644	82	95	0	buba	10785
1248	813	176	141	3	chest	10894
902	524	92	95	0	buba	10894
906	516	86	102	0	buba	11016
1200	820	176	140	3	chest	11016
645	766	109	87	0	buba	11135
1182	817	168	136	3	chest	11135
656	767	102	89	0	buba	11249
1165	809	170	135	3	chest	11249
1265	951	140	119	0	buba	11249
662	778	100	69	0	buba	11360
1158	806	165	120	3	chest	11360
1250	923	135	125	0	buba	11360
677	752	96	88	0	buba	11483
1154	809	153	107	3	chest	11483
1246	921	118	121	0	buba	11483
694	747	94	81	0	buba	11603
1237	920	114	94	0	buba	11603
1015	1023	132	55	0	buba	11603
1142	801	152	106	3	chest	11603
701	757	91	79	0	buba	11733
1244	924	106	99	0	buba	11733
996	1016	127	60	0	buba	11733
1147	806	150	104	3	chest	11733
711	767	90	73	0	buba	11857
1254	922	106	102	0	buba	11857
1162	808	145	109	3	chest	11857
1029	932	107	87	0	buba	11857
955	886	98	82	0	buba	11857
729	770	90	75	0	buba	11981
1170	809	153	114	3	chest	11981
971	883	90	85	0	buba	11981
1047	928	105	99	0	buba	11981
1171	923	110	88	0	buba	11981
750	708	94	98	0	buba	12112
1208	808	142	119	3	chest	12112
1296	923	125	126	0	buba	12112
791	706	102	68	0	buba	12229
1324	920	123	121	0	buba	12229
1020	1028	114	53	0	buba	12229
1239	813	151	110	3	chest	12229
1110	928	103	94	0	buba	12229
1370	921	109	98	0	buba	12354
1023	1038	118	41	0	buba	12354
1274	795	143	116	3	chest	12354
1258	896	97	86	0	buba	12354
1141	921	115	100	0	buba	12354
856	616	93	78	0	buba	12479
1297	882	97	91	0	buba	12479
1399	895	103	101	0	buba	12479
1305	780	138	117	3	chest	12479
1087	999	107	71	0	buba	12600
1232	1002	113	68	0	buba	12600
